x (m), Deflection y (m), Slope (rad), Moment (Nm), Shear (N)
3.030e+00,1.829e-03,1.057e-03,1.970e+03,-1.000e+03
3.040e+00,1.839e-03,1.059e-03,1.960e+03,-1.000e+03
3.050e+00,1.850e-03,1.061e-03,1.950e+03,-1.000e+03
3.060e+00,1.860e-03,1.063e-03,1.940e+03,-1.000e+03
3.070e+00,1.871e-03,1.065e-03,1.930e+03,-1.000e+03
3.080e+00,1.882e-03,1.067e-03,1.920e+03,-1.000e+03
3.090e+00,1.892e-03,1.069e-03,1.910e+03,-1.000e+03
3.100e+00,1.903e-03,1.071e-03,1.900e+03,-1.000e+03
3.110e+00,1.914e-03,1.073e-03,1.890e+03,-1.000e+03
3.120e+00,1.924e-03,1.075e-03,1.880e+03,-1.000e+03
3.130e+00,1.935e-03,1.077e-03,1.870e+03,-1.000e+03
3.140e+00,1.946e-03,1.079e-03,1.860e+03,-1.000e+03
3.150e+00,1.957e-03,1.080e-03,1.850e+03,-1.000e+03
3.160e+00,1.968e-03,1.082e-03,1.840e+03,-1.000e+03
3.170e+00,1.978e-03,1.084e-03,1.830e+03,-1.000e+03
3.180e+00,1.989e-03,1.086e-03,1.820e+03,-1.000e+03
3.190e+00,2.000e-03,1.088e-03,1.810e+03,-1.000e+03
3.200e+00,2.011e-03,1.090e-03,1.800e+03,-1.000e+03
3.210e+00,2.022e-03,1.091e-03,1.790e+03,-1.000e+03
3.220e+00,2.033e-03,1.093e-03,1.780e+03,-1.000e+03
3.230e+00,2.044e-03,1.095e-03,1.770e+03,-1.000e+03
3.240e+00,2.055e-03,1.097e-03,1.760e+03,-1.000e+03
3.250e+00,2.066e-03,1.099e-03,1.750e+03,-1.000e+03
3.260e+00,2.077e-03,1.100e-03,1.740e+03,-1.000e+03
3.270e+00,2.088e-03,1.102e-03,1.730e+03,-1.000e+03
3.280e+00,2.099e-03,1.104e-03,1.720e+03,-1.000e+03
3.290e+00,2.110e-03,1.105e-03,1.710e+03,-1.000e+03
3.300e+00,2.121e-03,1.107e-03,1.700e+03,-1.000e+03
3.310e+00,2.132e-03,1.109e-03,1.690e+03,-1.000e+03
3.320e+00,2.143e-03,1.111e-03,1.680e+03,-1.000e+03
3.330e+00,2.154e-03,1.112e-03,1.670e+03,-1.000e+03
3.340e+00,2.165e-03,1.114e-03,1.660e+03,-1.000e+03
3.350e+00,2.176e-03,1.116e-03,1.650e+03,-1.000e+03
3.360e+00,2.187e-03,1.117e-03,1.640e+03,-1.000e+03
3.370e+00,2.199e-03,1.119e-03,1.630e+03,-1.000e+03
3.380e+00,2.210e-03,1.120e-03,1.620e+03,-1.000e+03
3.390e+00,2.221e-03,1.122e-03,1.610e+03,-1.000e+03
3.400e+00,2.232e-03,1.124e-03,1.600e+03,-1.000e+03
3.410e+00,2.243e-03,1.125e-03,1.590e+03,-1.000e+03
3.420e+00,2.255e-03,1.127e-03,1.580e+03,-1.000e+03
3.430e+00,2.266e-03,1.128e-03,1.570e+03,-1.000e+03
3.440e+00,2.277e-03,1.130e-03,1.560e+03,-1.000e+03
3.450e+00,2.289e-03,1.132e-03,1.550e+03,-1.000e+03
